date,geography,geography code,Social Grade: All categories: Approximated social grade; measures: Value,Social Grade: AB Higher and intermediate managerial/administrative/professional occupations; measures: Value,"Social Grade: C1 Supervisory, clerical and junior managerial/administrative/professional occupations; measures: Value",Social Grade: C2 Skilled manual occupations; measures: Value,Social Grade: DE Semi-skilled and unskilled manual occupations; unemployed and lowest grade occupations; measures: Value
2011,Crewe West,E05008625,4510,844,974,1147,1545
2011,Dane Valley,E05008626,4827,1853,1395,882,697
2011,Disley,E05008627,1726,516,524,380,306
2011,Gawsworth,E05008628,2161,610,574,622,355
2011,Handforth,E05008629,7326,1848,2314,1294,1870
2011,Haslington,E05008630,4745,1095,1320,1275,1055
2011,High Legh,E05008631,2776,808,860,604,504
2011,Knutsford,E05008632,9450,3513,2972,1395,1570
2011,Leighton,E05008633,1209,256,313,350,290
2011,Macclesfield Central,E05008634,11080,2929,3720,2261,2170
2011,Macclesfield East,E05008635,1966,525,571,436,434
2011,Macclesfield Hurdsfield,E05008636,4541,1254,1210,737,1340
2011,Macclesfield South,E05008637,3708,715,1004,902,1087
2011,Macclesfield Tytherington,E05008638,4304,1526,1251,731,796
2011,Macclesfield West and Ivy,E05008639,2776,529,701,665,881
2011,Middlewich,E05008640,7205,1567,2109,1747,1782
2011,Mobberley,E05008641,3243,815,1142,710,576
2011,Nantwich North and West,E05008642,5600,1315,1652,1249,1384
2011,Nantwich South and Stapeley,E05008643,4243,1352,1157,864,870
2011,Odd Rode,E05008644,3130,671,863,886,710
2011,Poynton East and Pott Shrigley,E05008645,3822,1345,1224,732,521
2011,Poynton West and Adlington,E05008646,4583,1414,1490,904,775
2011,Prestbury,E05008647,2206,939,675,356,236
2011,Sandbach Elworth,E05008648,1709,435,500,423,351
2011,Sandbach Ettiley Heath and Wheelock,E05008649,1866,493,524,450,399
2011,Sandbach Heath and East,E05008650,1682,350,413,414,505
2011,Sandbach Town,E05008651,3723,1276,1115,663,669
2011,Shavington,E05008652,1349,254,344,437,314
2011,Sutton,E05008653,2163,551,623,575,414
2011,Willaston and Rope,E05008654,1555,545,446,309,255
2011,Wilmslow Dean Row,E05008655,1346,560,416,179,191
2011,Wilmslow East,E05008656,5069,2027,1791,616,635
2011,Wilmslow Lacey Green,E05008657,2588,648,1043,459,438
2011,Wilmslow West and Chorley,E05008658,6000,2395,2068,831,706
2011,Wistaston,E05008659,3656,757,1125,933,841
